time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-09T12:12:59.250Z,11.1366,-86.7727,38.94,5,mb,,158,1.173,1.06,us,us20004z02,2016-02-09T19:56:33.222Z,"77km SSW of Masachapa, Nicaragua",earthquake,6.7,9.8,0.062,84,reviewed,us,us
2016-02-09T12:12:07.220Z,51.3038,179.6993,57.1,5.3,mb,,106,2.039,1.13,us,us20004z01,2016-02-09T20:19:51.430Z,"72km S of Semisopochnoi Island, Alaska",earthquake,8.6,6.7,0.027,476,reviewed,us,us
2016-02-09T08:18:58.100Z,-15.5155,-73.3115,74.09,4.6,mb,,125,4.017,0.87,us,us20004yyb,2016-02-09T16:21:36.480Z,"73km SE of Coracora, Peru",earthquake,4.5,9,0.122,20,reviewed,us,us
2016-02-09T08:14:19.450Z,1.1532,123.8734,25.37,4.5,mb,,110,6.691,0.82,us,us20004yyc,2016-02-09T16:16:55.454Z,"34km NNW of Lolak, Indonesia",earthquake,11.9,6.8,0.116,22,reviewed,us,us
2016-02-09T07:37:14.470Z,74.2208,-71.8698,14.91,4.5,mb,,46,6.188,0.72,us,us20004yy2,2016-02-09T15:39:44.033Z,"257km NE of Pond Inlet, Canada",earthquake,8.6,4.8,0.07,60,reviewed,us,us
2016-02-09T07:22:47.260Z,28.2966,-43.7723,27.76,4.9,mb,,101,29.879,0.5,us,us20004yxy,2016-02-09T15:25:16.709Z,"Northern Mid-Atlantic Ridge",earthquake,4.7,5,0.043,169,reviewed,us,us
2016-02-09T07:19:31.970Z,28.3445,-43.6609,10,5.3,mb,,103,19.755,1.06,us,us20004yxx,2016-02-09T15:22:15.977Z,"Northern Mid-Atlantic Ridge",earthquake,11.5,1.8,0.032,327,reviewed,us,us
2016-02-09T05:03:20.080Z,-4.7627,149.7142,601.32,4.9,mb,,57,2.507,0.71,us,us20004yxn,2016-02-09T13:05:54.392Z,"99km NNW of Kimbe, Papua New Guinea",earthquake,9.5,9.8,0.064,77,reviewed,us,us
2016-02-09T02:29:02.720Z,30.6371,86.123,40.24,4.6,mb,,153,7.15,0.96,us,us20004yx3,2016-02-09T10:31:45.662Z,"102km SE of Maindong, China",earthquake,10.7,10,0.102,29,reviewed,us,us
2016-02-09T00:47:00.590Z,23.8546,121.7461,6.85,4.9,mwr,,78,0.346,0.88,us,us20004ywk,2016-02-09T05:51:51.955Z,"19km SE of Hualian, Taiwan",earthquake,3.7,4.4,0.066,22,reviewed,us,us
2016-02-09T00:39:00.530Z,-42.1293,173.0751,50.77,5.2,mwr,,58,0.387,1.13,us,us20004ywf,2016-02-11T08:55:11.982Z,"58km WNW of Kaikoura, New Zealand",earthquake,3.5,4.6,0.047,44,reviewed,us,us
2016-02-08T23:26:45.800Z,28.3833,-43.8025,10,5.3,mb,,73,16.544,0.94,us,us20004yvv,2016-02-09T07:29:17.379Z,"Northern Mid-Atlantic Ridge",earthquake,10.6,1.9,0.033,312,reviewed,us,us
2016-02-08T23:03:26.070Z,28.3431,-43.7581,10,5.4,mb,,45,19.679,0.87,us,us20004yvg,2016-02-09T07:05:54.885Z,"Northern Mid-Atlantic Ridge",earthquake,10.1,1.8,0.025,543,reviewed,us,us
2016-02-08T22:50:24.760Z,28.2482,-43.7413,10,5,mb,,101,20.444,0.69,us,us20004yvn,2016-02-09T06:52:54.174Z,"Northern Mid-Atlantic Ridge",earthquake,7.9,1.8,0.08,49,reviewed,us,us
2016-02-08T21:16:09.720Z,19.712,-97.4219,28.09,4.6,mb,,127,1.699,1.1,us,us20004yuq,2016-02-09T02:12:43.387Z,"13km SSW of Teziutlan, Mexico",earthquake,8.5,6.7,0.044,157,reviewed,us,us
2016-02-08T20:59:35.430Z,-19.306,-172.8159,41.97,5.3,mb,,26,8.8,1.35,us,us20004yui,2016-02-09T05:02:17.228Z,"142km ESE of Neiafu, Tonga",earthquake,11.3,6,0.035,267,reviewed,us,us
2016-02-08T20:39:45.690Z,28.3124,-43.831,10,5,mb,,93,29.846,0.76,us,us20004yum,2016-02-10T17:41:52.362Z,"Northern Mid-Atlantic Ridge",earthquake,8.6,1.8,0.04,202,reviewed,us,us
2016-02-08T16:19:13.090Z,-6.6214,154.7073,31.62,6.4,mww,,11,5.895,0.63,us,us20004yr0,2016-02-09T00:21:41.627Z,"92km WSW of Panguna, Papua New Guinea",earthquake,7.1,3.3,,,reviewed,us,us
2016-02-08T15:35:43.430Z,37.0034,14.8933,10,4.6,mb,,153,0.477,1.04,us,us20004yqw,2016-02-08T23:38:19.589Z,"6km S of Palazzolo Acreide, Italy",earthquake,7,1.9,0.103,28,reviewed,us,us
2016-02-08T15:25:14.880Z,5.9587,126.4802,99.75,4.5,mb,,118,1.421,0.95,us,us20004yqr,2016-02-08T17:44:27.205Z,"55km SE of Pondaguitan, Philippines",earthquake,9.5,7,0.085,41,reviewed,us,us
2016-02-08T12:13:19.630Z,-32.1033,-71.9252,22.34,4.7,mb,,186,0.948,0.89,us,us20004yq6,2016-02-08T20:15:57.921Z,"75km WNW of La Ligua, Chile",earthquake,5.3,5.9,0.153,13,reviewed,us,us
2016-02-08T12:05:55.020Z,-19.2461,168.5603,48.81,4.9,mb,,78,2.278,1.12,us,us20004yq4,2016-02-08T20:08:43.146Z,"81km WNW of Isangel, Vanuatu",earthquake,8.3,7.1,0.091,38,reviewed,us,us
2016-02-08T09:32:07.650Z,-37.8618,-179.7137,10,4.6,mb,,228,1.598,0.59,us,us20004ypd,2016-02-08T17:34:43.205Z,"218km ENE of Gisborne, New Zealand",earthquake,9.9,2,0.182,9,reviewed,us,us
2016-02-08T00:33:08.370Z,36.526,70.2594,197.26,4.6,mb,,69,0.65,0.83,us,us20004ymm,2016-02-08T08:35:36.103Z,"36km E of Farkhar, Afghanistan",earthquake,6.2,5.8,0.137,16,reviewed,us,us
2016-02-08T00:19:32.850Z,-19.5368,-172.9393,37.76,4.8,mb,,103,5.705,1.11,us,us20004ymi,2016-02-08T08:22:03.678Z,"147km SE of Neiafu, Tonga",earthquake,11.2,7,0.096,34,reviewed,us,us
2016-02-07T23:31:10.490Z,27.2681,98.4026,17.92,4.6,mb,,80,6.109,1.22,us,us20004ym9,2016-02-08T07:33:44.517Z,"62km SSW of Cikai, China",earthquake,11,5.2,0.109,25,reviewed,us,us
2016-02-07T20:45:40.810Z,24.2903,123.4745,46.63,4.5,mb,,131,0.457,0.98,us,us20004ylg,2016-02-08T04:48:31.247Z,"51km ESE of Yonakuni, Japan",earthquake,9.8,7.4,0.139,15,reviewed,us,us
2016-02-07T20:05:13.560Z,-22.9784,69.3151,10,4.5,mb,,142,12.715,1.13,us,us20004yl9,2016-02-08T04:07:46.708Z,"Mid-Indian Ridge",earthquake,13.9,1.9,0.125,19,reviewed,us,us
